274848,58.88,581
275309,130.15,-558
289890,88.37,218
290889,60.06,320
301016,30.66,958
301716,85.71,-1257
302674,62.63,258
303314,93.75,-318
303933,96.93,-21
304473,111.32,-80
305372,66.67,361
306092,83.45,-181
306851,79.05,40
307569,83.57,-41
308449,68.18,162
309387,63.90,59
310085,85.96,-241
311025,63.90,241
312722,35.34,759
314301,38.02,-120
316238,30.96,360
316818,103.45,-1358
317736,65.36,338
318715,61.35,60
319714,60.06,21
320593,68.18,-119
322172,38.02,698
323090,65.29,-659
324229,52.68,220
324508,215.05,-860
325208,85.71,421
326586,43.54,678
327386,75.00,-578
328384,60.18,197
330122,34.50,742
331021,66.74,-840
332000,61.29,80
334038,29.44,1059
336315,26.35,239
340610,58.88,-1258
341688,55.71,58
343687,30.00,923
348421,41.12,-541
349020,100.17,-860
350138,53.67,519
354533,47.69,140
355732,50.00,-58
356851,53.62,-81
357870,58.94,-101
358669,75.00,-218
361046,25.24,1577
361964,65.36,-1459
362764,75.09,-119
363743,61.22,181
364642,66.74,-81
365520,68.42,-22
366540,58.82,143
367459,65.22,-100
368518,56.66,139
369476,62.70,-102
370414,63.97,-19
371412,60.06,61
372333,65.15,-78
373231,66.89,-24
374111,68.18,-17
375109,60.06,119
376029,65.29,-80
376947,65.36,-1
378025,55.66,160
379024,60.00,-78
380102,55.66,78
381082,61.29,-99
381962,68.18,-99
382960,60.12,118
383639,88.24,-318
384538,66.74,219
385418,68.26,-20
386215,75.19,-81
386956,81.08,-58
387973,58.94,278
388834,69.77,-158
389593,79.05,-101
390690,54.64,339
391489,75.09,-299
392410,65.15,122
393189,77.12,-143
394028,71.43,62
394727,85.96,-142
395425,85.84,1
396583,51.81,459
397444,69.77,-298
398483,57.75,179
399401,65.36,-121
400599,50.04,281
401356,79.26,-442
403015,36.17,902
404474,41.12,-200
405173,85.84,-760
407811,22.75,1938
409768,30.66,-680
410787,58.82,-937
411725,64.03,-83
412465,80.97,-196
413483,58.94,277
414304,73.17,-198
415023,83.45,-101
416020,60.12,279
416999,61.29,-19
417979,61.29,0
419117,52.68,160
419895,77.12,-361
420835,63.83,162
421754,65.36,-22
423553,33.33,882
424470,65.43,-883
425609,52.68,222
426487,68.34,-261
427348,69.77,-18
428347,60.06,139
429265,65.29,-80
430144,68.34,-41
431104,62.57,81
431962,69.85,-100
432761,75.09,-60
433760,60.00,201
434598,71.68,-163
435318,83.22,-116
436295,61.41,256
437216,65.15,-56
438075,69.93,-63
439013,63.97,80
439972,62.57,21
440671,85.71,-259
441709,57.80,338
442589,68.18,-158
443368,77.12,-102
444207,71.51,61
446445,26.81,1399
447382,63.97,-1300
448223,71.34,-97
448961,81.41,-104
449761,75.00,63
450937,50.98,377
451858,65.15,-256
452617,79.16,-163
453676,56.60,302
454616,63.90,-121
455254,93.90,-300
456212,62.63,319
457031,73.26,-139
457692,90.91,-159
459328,36.65,977
