9259,63.90,939
10298,57.80,99
11277,61.29,-59
12335,56.71,79
14112,33.75,720
15131,58.88,-759
15931,75.09,-220
17768,32.64,1039
20385,22.93,779
21144,79.05,-1858
22144,60.00,241
23102,62.63,-42
24141,57.80,80
25498,44.18,320
25999,119.76,-857
27236,48.50,736
28297,56.60,-177
29054,79.16,-302
30233,50.89,421
34868,88.24,-499
35587,83.57,38
36706,53.57,402
37584,68.34,-242
38383,75.19,-80
39442,56.60,262
43077,130.72,-601
43876,75.09,340
44955,55.61,280
45455,120.24,-580
46534,55.61,580
47413,68.18,-199
48271,69.93,-22
58161,66.74,41
61116,20.30,2057
61594,125.52,-2478
64173,23.26,2101
64912,81.19,-1840
66030,53.67,379
67090,56.66,-59
68007,65.36,-141
69027,58.88,101
70087,56.60,41
71145,56.71,-2
72343,50.08,140
77756,88.50,-520
89763,65.36,240
90823,56.60,142
92640,33.00,758
93419,77.02,-1039
94477,56.71,279
95597,53.62,61
96696,54.60,-20
97813,53.67,19
98833,58.88,-99
115094,57.80,19
116373,46.88,242
117372,60.12,-282
118270,66.74,-99
119149,68.26,-20
120329,50.85,301
121107,77.12,-402
122288,50.85,402
123106,73.26,-361
124106,60.06,180
125264,51.81,159
126383,53.62,-39
127403,58.88,-100
128381,61.29,-40
129638,47.69,279
130538,66.67,-358
131438,66.74,-1
132436,60.06,100
133496,56.66,60
134354,69.85,-200
135572,49.26,359
136571,60.06,-219
137830,47.66,260
139030,50.00,-59
139968,63.97,-262
140987,58.88,81
142226,48.43,220
143005,77.02,-460
143885,68.26,100
144685,75.00,-79
145783,54.64,298
146742,62.50,-138
147721,61.35,18
148840,53.62,141
149878,57.75,-80
150877,60.06,-40
151836,62.63,-41
152735,66.67,-58
153555,73.26,-81
154515,62.50,141
155452,63.97,-22
156312,69.85,-79
157250,63.97,79
158009,79.05,-179
159187,50.89,420
160268,55.56,-99
161045,77.12,-302
166819,39.58,738
167560,80.97,-775
168499,63.83,199
169558,56.76,117
170437,68.18,-177
171416,61.29,99
172193,77.12,-201
173073,68.26,101
174052,61.29,100
174931,68.26,-100
175891,62.50,81
177009,53.67,158
178188,50.89,61
179367,50.89,0
180505,52.72,-41
181623,53.67,-20
182683,56.60,-58
183821,52.72,78
184780,62.57,-179
185838,56.71,99
186958,53.57,62
188016,56.66,-61
188995,61.35,-81
190033,57.80,60
190932,66.74,-139
191873,63.76,42
192831,62.57,18
194868,29.46,1078
195848,61.22,-1057
196927,55.66,98
197965,57.80,-40
198964,60.06,-39
