221057,56.71,-360
221457,150.00,-658
222655,50.08,798
223094,136.67,-759
224572,40.60,1039
236656,20.72,1418
239093,24.62,-459
239733,93.75,-1797
240093,166.67,-280
242849,23.29,2216
243567,83.57,-1858
245726,27.79,1441
246225,120.24,-1660
246865,93.75,141
251480,49.96,561
253556,28.90,875
254614,56.71,-1018
256093,40.57,421
271455,54.55,-379
272152,85.96,-402
273811,36.19,960
275169,44.18,-300
275988,73.26,-539
277106,53.67,299
278286,50.85,62
279404,53.72,-63
280242,71.51,-278
282720,24.21,1639
283658,63.97,-1540
284719,56.60,122
285877,51.81,98
288053,27.56,1019
289052,60.06,-1178
290230,50.93,179
291270,57.75,-139
292169,66.74,-140
293506,44.84,439
294625,53.62,-219
295544,65.29,-200
296642,54.64,179
297582,63.83,-158
298601,58.94,78
299500,66.74,-119
300378,68.26,-20
301437,56.71,179
302637,50.00,142
303654,59.00,-183
312544,48.43,222
317238,48.43,0
319236,30.03,759
320454,49.26,-780
321413,62.57,-259
322492,55.66,119
323451,62.57,-119
324350,66.74,-60
325308,62.57,60
326287,61.29,20
327065,77.12,-201
327964,66.74,121
329224,47.62,361
330243,58.88,-241
338433,69.77,-159
347402,53.67,258
351498,58.94,-100
356612,50.04,181
358929,25.88,1119
359767,71.60,-1480
361047,46.88,442
362126,55.61,-201
363184,56.76,-22
364243,56.66,2
365501,47.69,199
366320,73.17,-438
367458,52.72,318
368337,68.26,-259
369377,57.75,160
370155,77.02,-260
371254,54.64,319
372214,62.50,-138
373313,54.60,139
374351,57.80,-61
375450,54.60,61
379704,81.30,-361
380603,66.74,161
381743,52.63,241
382361,97.09,-522
383819,41.15,840
384997,50.93,-280
385876,68.26,-299
386957,55.50,202
388514,38.54,476
390371,32.31,300
391431,56.60,-797
392470,57.75,-21
393569,54.64,59
394327,79.05,-339
395446,53.62,360
396205,79.16,-361
396886,88.24,-78
